z,val,err,probe,type,RA,DEC
0.02374,34.8584,0.20127,sne_ia,mu,239.284,-12.6733
0.0226,34.9992,0.267367,sne_ia,mu,269.418,27.8328
0.0226,34.9712,0.237284,sne_ia,mu,269.418,27.8328
0.0235,34.985,0.19074,sne_ia,mu,79.8345,-17.6116
0.02324,34.7666,0.340338,sne_ia,mu,260.925,30.4973
0.02317,35.0225,0.271221,sne_ia,mu,139.934,33.7637
0.02262,34.883,0.27497,sne_ia,mu,43.0961,-31.8217
0.02287,34.9168,0.178524,sne_ia,mu,164.688,59.4867
0.02222,35.0537,0.229702,sne_ia,mu,21.0939,3.5876
0.02295,34.6478,0.266962,sne_ia,mu,176.441,19.7705
0.02295,34.4301,0.279423,sne_ia,mu,176.441,19.7705
0.02328,34.9851,0.282579,sne_ia,mu,162.842,8.5785
0.02328,35.0081,0.221692,sne_ia,mu,162.842,8.5785
0.02328,34.9783,0.225403,sne_ia,mu,162.842,8.5785
0.02315,34.8582,0.260273,sne_ia,mu,138.75,29.7353
0.02315,34.8582,0.170636,sne_ia,mu,138.75,29.7353
0.02309,34.8331,0.263771,sne_ia,mu,261.674,13.9098
0.02405,34.8391,0.21588,sne_ia,mu,204.37,4.1031
0.0245,34.9998,0.217718,sne_ia,mu,229.869,-9.8806
0.0228,35.0406,0.206572,sne_ia,mu,358.554,27.4093
0.0228,34.9509,0.259128,sne_ia,mu,358.554,27.4093
0.02331,34.5715,0.261746,sne_ia,mu,166.898,22.8514
0.0222,34.9543,0.274039,sne_ia,mu,40.287,43.6802
0.02422,34.943,0.2098,sne_ia,mu,205.921,3.9
0.02307,34.9949,0.180801,sne_ia,mu,0.8959,23.1962
0.02396,34.889,0.403697,sne_ia,mu,197.038,27.8264
0.02296,34.994,0.277383,sne_ia,mu,203.057,84.6783
0.02454,34.8993,0.190331,sne_ia,mu,203.846,-34.1603
0.02358,35.1018,0.195014,sne_ia,mu,339.876,8.6059
0.02436,35.1049,0.31033,sne_ia,mu,253.24,2.3935
0.02436,34.4711,0.398476,sne_ia,mu,253.24,2.3935
0.02421,34.8782,0.224067,sne_ia,mu,185.313,-21.9988
0.0242,34.9421,0.208286,sne_ia,mu,195.813,50.6188
0.0242,35.084,0.183555,sne_ia,mu,195.813,50.6188
0.0245,35.1803,0.232251,sne_ia,mu,229.869,-9.8806
0.02425,35.0771,0.195416,sne_ia,mu,203.689,13.8539
0.02395,34.9871,0.184147,sne_ia,mu,190.437,35.0686
0.02395,34.953,0.198064,sne_ia,mu,190.437,35.0686
0.02349,35.2317,0.235205,sne_ia,mu,2.865,-6.4273
0.02414,35.0102,0.201948,sne_ia,mu,184.322,16.3716
0.02476,35.008,0.162015,sne_ia,mu,58.5951,-19.1817
0.02476,35.0746,0.209952,sne_ia,mu,58.5951,-19.1817
0.02476,34.9493,0.170871,sne_ia,mu,58.5951,-19.1817
0.02395,35.1784,0.189112,sne_ia,mu,190.437,35.0686
0.02451,35.1061,0.235556,sne_ia,mu,181.012,20.2452
0.02451,35.0521,0.231261,sne_ia,mu,181.012,20.2452
0.02451,34.8898,0.233972,sne_ia,mu,181.012,20.2452
0.02426,34.9528,0.213795,sne_ia,mu,187.786,0.6054
0.02426,34.807,0.18246,sne_ia,mu,187.786,0.6054
0.02406,34.8112,0.317595,sne_ia,mu,348.94,-1.3396
0.02404,35.0862,0.240547,sne_ia,mu,359.738,-2.2481
0.02491,35.1973,0.228493,sne_ia,mu,200.437,31.2468
0.02553,35.2152,0.268527,sne_ia,mu,98.5373,-25.1846
0.02481,34.8369,0.288042,sne_ia,mu,333.668,5.0803
0.02481,34.8482,0.181918,sne_ia,mu,333.668,5.0803
0.02413,35.079,0.205996,sne_ia,mu,1.452,27.4527
0.02481,35.009,0.176889,sne_ia,mu,333.668,5.0803
0.02499,35.0276,0.190198,sne_ia,mu,208.163,-2.0022
0.02443,34.4583,0.333265,sne_ia,mu,299.648,2.6045
0.025,34.9117,0.306484,sne_ia,mu,183.404,46.4934
0.025,35.1989,0.238281,sne_ia,mu,183.404,46.4934
0.025,35.2277,0.204374,sne_ia,mu,183.404,46.4934
0.02469,35.1139,0.15531,sne_ia,mu,124.995,62.8203
0.02469,35.1145,0.174825,sne_ia,mu,124.995,62.8203
0.02547,34.9842,0.185284,sne_ia,mu,66.0835,-31.9874
0.02494,34.9441,0.240723,sne_ia,mu,153.926,55.6685
0.02494,34.9063,0.269066,sne_ia,mu,153.926,55.6685
0.02582,35.1882,0.176701,sne_ia,mu,212.86,1.286
0.02522,35.1974,0.185937,sne_ia,mu,269.874,43.3901
0.02474,35.1828,0.233724,sne_ia,mu,28.4267,29.9363
0.02492,35.0621,0.190177,sne_ia,mu,196.914,6.3376
0.02592,34.7664,0.344692,sne_ia,mu,201.041,-23.8788
0.02538,35.1181,0.200181,sne_ia,mu,156.676,36.6805
0.02525,35.4014,0.200491,sne_ia,mu,358.155,14.5525
0.02584,35.2931,0.179545,sne_ia,mu,144.385,23.2007
0.02584,35.1081,0.198242,sne_ia,mu,144.385,23.2007
0.02584,34.835,0.348314,sne_ia,mu,144.385,23.2007
0.02618,35.3111,0.17873,sne_ia,mu,214.129,39.5864
0.02597,35.2855,0.288909,sne_ia,mu,126.776,21.646
0.02597,35.3429,0.323231,sne_ia,mu,126.776,21.646
0.02579,35.0223,0.372346,sne_ia,mu,25.9859,17.0626
0.02595,35.308,0.179587,sne_ia,mu,132.31,36.13
0.02603,35.2688,0.183373,sne_ia,mu,37.9131,39.3812
0.02603,35.2892,0.205883,sne_ia,mu,37.9131,39.3812
0.02691,35.1184,0.181369,sne_ia,mu,213.595,2.9755
0.02643,35.2513,0.18676,sne_ia,mu,174.64,25.3971
0.0264,35.3224,0.216057,sne_ia,mu,3.7493,16.335
0.02724,35.2892,0.298907,sne_ia,mu,315.099,-14.4978
0.02633,35.2673,0.172357,sne_ia,mu,334.772,24.5944
0.02655,35.3437,0.230789,sne_ia,mu,275.765,29.8971
0.02655,35.1118,0.346591,sne_ia,mu,275.765,29.8971
0.02655,35.227,0.261645,sne_ia,mu,275.765,29.8971
0.02643,35.313,0.220137,sne_ia,mu,174.64,25.3971
0.0266,35.3042,0.352852,sne_ia,mu,334.787,13.1779
0.02721,35.5236,0.225337,sne_ia,mu,257.442,62.9743
0.02717,35.113,0.172724,sne_ia,mu,105.403,14.1333
0.02717,35.1538,0.186856,sne_ia,mu,105.403,14.1333
0.02717,35.1117,0.170295,sne_ia,mu,105.403,14.1333
0.02676,35.3467,0.289875,sne_ia,mu,177.868,22.0261
0.0277,35.7258,0.321699,sne_ia,mu,49.3992,-1.6917
0.02704,35.1306,0.184771,sne_ia,mu,339.555,35.4917
0.02759,35.6739,0.216353,sne_ia,mu,322.747,13.9892
0.02748,35.3613,0.190628,sne_ia,mu,43.1946,46.9464
0.02827,35.3174,0.173415,sne_ia,mu,170.926,-22.2707
0.02775,35.2874,0.292934,sne_ia,mu,351.981,8.7794
0.02831,35.5061,0.163093,sne_ia,mu,47.2055,-7.0332
0.02831,35.5563,0.160218,sne_ia,mu,47.2055,-7.0332
0.02831,35.558,0.160985,sne_ia,mu,47.2055,-7.0332
0.02794,35.2665,0.177545,sne_ia,mu,260.69,62.164
0.02834,35.372,0.160301,sne_ia,mu,75.8891,6.6599
0.02834,35.3421,0.156527,sne_ia,mu,75.8891,6.6599
0.02778,35.1049,0.181734,sne_ia,mu,314.125,-18.5595
0.02732,35.4368,0.180322,sne_ia,mu,186.158,10.8382
0.02732,35.2913,0.178243,sne_ia,mu,186.158,10.8382
0.02732,35.359,0.180243,sne_ia,mu,186.158,10.8382
0.02802,35.1963,0.366604,sne_ia,mu,42.2932,14.6008
0.02829,35.5996,0.235009,sne_ia,mu,129.597,17.6277
0.02779,35.6596,0.251383,sne_ia,mu,117.045,28.2307
0.02953,35.3449,0.211378,sne_ia,mu,251.811,40.2436
0.02859,35.4105,0.201911,sne_ia,mu,259.342,41.0667
0.02806,34.9487,0.227749,sne_ia,mu,192.197,41.9245
0.02871,35.4779,0.275376,sne_ia,mu,120.035,56.3688
0.02845,35.0558,0.218663,sne_ia,mu,213.213,35.7112
0.02875,35.5152,0.250819,sne_ia,mu,207.702,49.3186
0.02844,35.6948,0.183345,sne_ia,mu,318.097,14.7793
0.0285,35.2391,0.185823,sne_ia,mu,284.67,43.4689
0.02895,35.6024,0.169987,sne_ia,mu,109.491,9.693
0.02895,35.6222,0.299966,sne_ia,mu,109.491,9.693
0.02874,35.472,0.225755,sne_ia,mu,134.895,45.9259
0.0299,35.2761,0.180915,sne_ia,mu,221.777,11.5949
0.02886,35.0939,0.272694,sne_ia,mu,358.681,-25.6761
0.02896,35.6079,0.224233,sne_ia,mu,356.855,28.3877
0.0305,35.3638,0.283742,sne_ia,mu,244.127,35.7084
0.03053,35.4654,0.177866,sne_ia,mu,65.4509,-15.7554
0.029,35.5064,0.190895,sne_ia,mu,236.376,-13.1528
0.03048,35.2781,0.194122,sne_ia,mu,203.176,-21.8011
0.02935,35.5015,0.190369,sne_ia,mu,31.1559,21.5861
0.02988,35.5116,0.190788,sne_ia,mu,176.111,-28.4574
0.02934,35.4354,0.185335,sne_ia,mu,15.398,17.1013
0.02962,35.861,0.192522,sne_ia,mu,355.059,26.2033
0.02978,35.5195,0.196088,sne_ia,mu,340.542,19.9946
0.02978,35.4838,0.199296,sne_ia,mu,340.542,19.9946
0.02978,35.4761,0.233488,sne_ia,mu,340.542,19.9946
0.03025,35.5185,0.166012,sne_ia,mu,259.33,33.4621
0.03002,35.5542,0.216273,sne_ia,mu,45.3849,-15.016
0.02994,35.4803,0.173804,sne_ia,mu,203.149,-5.2725
0.02973,35.5345,0.258248,sne_ia,mu,177.727,2.3069
0.02965,35.3586,0.164518,sne_ia,mu,317.399,15.1255
0.03099,35.3522,0.343157,sne_ia,mu,324.363,-47.0319
0.03004,35.6084,0.212671,sne_ia,mu,38.893,-6.0629
